incorrect,correct
1 අපි ගෙදර යන්නෙමුවා,1 අපි ගෙදර යන්නෙමුවා
0 අපි ගෙදර ය්නෙහි,0 අපි ගෙදර යන්නෙහි
0 අපි ගෙර යන්නෙහිවා,0 අපි ගෙදර යන්නෙහිවා
0 අපි ගෙදර යන්නේ,0 අපි ගෙදර යන්නේය
0 අපි ගෙද යන්නෝය,0 අපි ගෙදර යන්නෝය
0 අපි ගෙදර යි,0 අපි ගෙදර යමි
0 අපි ගෙදර යමිවා,0 අපි ගෙදර යමිවා
1 අපි ගෙදර යමු,1 අපි ගෙදර යමු
1 අප ගෙදර යමුවා,1 අපි ගෙදර යමුවා
0 අප ගෙදර යයි,0 අපි ගෙදර යයි
0 පි ගෙදර යව,0 අපි ගෙදර යව
0 අපි ගෙදර යවති,0 අපි ගෙදර යවති
0 අපි ගදෙර යවන්නීය,0 අපි ගෙදර යවන්නීය
0 අපි ගෙදර යවන්නෙම,0 අපි ගෙදර යවන්නෙමි
1 අප ගෙදර යවන්නෙමු,1 අපි ගෙදර යවන්නෙමු
0 අපි ගෙදර යවන්නහි,0 අපි ගෙදර යවන්නෙහි
0 අපි ගෙදර යවන්නහු,0 අපි ගෙදර යවන්නෙහු
0 අපි ගදර යවන්නේය,0 අපි ගෙදර යවන්නේය
0 අපි ගදර යවන්නෝය,0 අපි ගෙදර යවන්නෝය
0 අපි ගෙද යවමි,0 අපි ගෙදර යවමි
1 අපි ගෙදර යවුම,1 අපි ගෙදර යවමු
0 අපි ගෙරද යවයි,0 අපි ගෙදර යවයි
0 අපි ගෙදර යහි,0 අපි ගෙදර යවහි
0 අපි ගෙදර යවහු,0 අපි ගෙදර යවහු
0 අපි ගෙර යවු,0 අපි ගෙදර යවු
0 අිප ගෙදර යහි,0 අපි ගෙදර යහි
0 පඅි ගෙදර යහිවා,0 අපි ගෙදර යහිවා
0 අපි ගෙදර යහු,0 අපි ගෙදර යහු
0 අිප ගෙදර යහුවා,0 අපි ගෙදර යහුවා
0 අපි ගෙදර යලනදී,0 අපි ගෙදර යනලදී
0 අිප ගෙදර ගියෙමි,0 අපි ගෙදර ගියෙමි
1 අි ගෙදර ගියෙමු,1 අපි ගෙදර ගියෙමු
0 අපි ෙදර ගියෙහි,0 අපි ගෙදර ගියෙහි
0 අපි ගෙදර ගියෙහු,0 අපි ගෙදර ගියෙහු
0 අපි ගෙදර ගයාය,0 අපි ගෙදර ගියාය
0 අපි ගෙදර ගයේය,0 අපි ගෙදර ගියේය
0 අපි ගෙදර ගියෝය,0 අපි ගෙදර ගියෝය
0 අපි ගෙරද යැවේ,0 අපි ගෙදර යැවේ
0 අි ගෙදර යැවෙමි,0 අපි ගෙදර යැවෙමි
1 අි ගෙදර යැවෙමු,1 අපි ගෙදර යැවෙමු
0 අපි ගෙදර යැවෙහ,0 අපි ගෙදර යැවෙහි
0 අපි ගෙදර යැවෙහු,0 අපි ගෙදර යැවෙහු
0 අිප ගෙදර යැවෙයි,0 අපි ගෙදර යැවෙයි
0 අපි ගෙරද යැවෙති,0 අපි ගෙදර යැවෙති
0 අි ගෙදර යැවවෙයි,0 අපි ගෙදර යැවවෙයි
0 අිප ගෙදර යැවවෙති,0 අපි ගෙදර යැවවෙති
0 අපි ගෙදර යැවේ,0 අපි ගෙදර යැවවේ
0 නුබ ගෙදර යති,0 නුබ ගෙදර යති
0 ුනබ ගෙදර යත්වා,0 නුබ ගෙදර යත්වා
1 නුබ ගෙරද යනවා,1 නුබ ගෙදර යනවා
0 නුබ ගෙදර යනවාලා,0 නුබ ගෙදර යනවාලා
1 නුබ ගදර යනු,1 නුබ ගෙදර යනු
1 නුබ ගෙදර යනන්,1 නුබ ගෙදර යන්න
0 නුබ ගෙදර යන්ීය,0 නුබ ගෙදර යන්නීය
0 නු ගෙදර යන්නෙමි,0 නුබ ගෙදර යන්නෙමි
0 නුබ ගෙදර යන්නෙිවා,0 නුබ ගෙදර යන්නෙමිවා
0 නුබ ගෙදර යන්නෙමු,0 නුබ ගෙදර යන්නෙමු
0 නබු ගෙදර යන්නෙමුවා,0 නුබ ගෙදර යන්නෙමුවා
1 නබ ගෙදර යන්නෙහි,1 නුබ ගෙදර යන්නෙහි
1 නුබ ගෙදර යන්නෙහිා,1 නුබ ගෙදර යන්නෙහිවා
0 නුබ ගෙදර නය්නේය,0 නුබ ගෙදර යන්නේය
0 නුබ ගෙද යන්නෝය,0 නුබ ගෙදර යන්නෝය
0 නුබ ගෙදර යමි,0 නුබ ගෙදර යමි
0 නුබ ගෙදර යමිවා,0 නුබ ගෙදර යමිවා
0 නුබ ගෙදර යමු,0 නුබ ගෙදර යමු
0 නුබ ගෙදර යමුාව,0 නුබ ගෙදර යමුවා
0 නු ගෙදර යයි,0 නුබ ගෙදර යයි
1 නුබ ගෙද යව,1 නුබ ගෙදර යව
0 නුබ ගෙදර යවිත,0 නුබ ගෙදර යවති
0 නුබ ගෙරද යවන්නීය,0 නුබ ගෙදර යවන්නීය
0 ුබ ගෙදර යවන්නෙමි,0 නුබ ගෙදර යවන්නෙමි
0 නුබ ගෙදර යවන්නෙමු,0 නුබ ගෙදර යවන්නෙමු
1 නුබ ගෙදර යවනනෙහි,1 නුබ ගෙදර යවන්නෙහි
0 නුබ ගෙදර යව්නනෙහු,0 නුබ ගෙදර යවන්නෙහු
0 නුබ ගෙදර යවන්නේය,0 නුබ ගෙදර යවන්නේය
0 නුබ ගෙදර යවන්නෝය,0 නුබ ගෙදර යවන්නෝය
0 නුබ ගෙදර යවමි,0 නුබ ගෙදර යවමි
0 නුබ ගෙදර යවමු,0 නුබ ගෙදර යවමු
0 නුබ ගෙදර යවිය,0 නුබ ගෙදර යවයි
1 නුබ ගෙදර යවහි,1 නුබ ගෙදර යවහි
0 නු ගෙදර යවහු,0 නුබ ගෙදර යවහු
0 නුබ ෙගදර යවු,0 නුබ ගෙදර යවු
1 නුබ ගෙදර හයි,1 නුබ ගෙදර යහි
1 නුබ ගෙදර හිවා,1 නුබ ගෙදර යහිවා
0 නුබ ගෙදර යු,0 නුබ ගෙදර යහු
0 නුබ ගෙදර යහුාව,0 නුබ ගෙදර යහුවා
0 නුබ ගෙදර යලනදී,0 නුබ ගෙදර යනලදී
0 ුබ ගෙදර ගියෙමි,0 නුබ ගෙදර ගියෙමි
0 නුබ ගෙදර ගයෙමු,0 නුබ ගෙදර ගියෙමු
1 නබු ගෙදර ගියෙහි,1 නුබ ගෙදර ගියෙහි
0 නුබ ගෙදර ියෙහු,0 නුබ ගෙදර ගියෙහු
0 නුබ ගෙදර ගියාය,0 නුබ ගෙදර ගියාය
0 නුබ ගෙදර ගියේය,0 නුබ ගෙදර ගියේය
0 නුබ ගෙදර ගිෝයය,0 නුබ ගෙදර ගියෝය
0 නුබ ගෙදර යැවේ,0 නුබ ගෙදර යැවේ
0 නුබ ගෙදර යැවෙමි,0 නුබ ගෙදර යැවෙමි
0 නු ගෙදර යැවෙමු,0 නුබ ගෙදර යැවෙමු
0 නුබ ගෙදර යැවෙි,0 නුබ ගෙදර යැවෙහි
0 නුබ ගෙරද යැවෙහු,0 නුබ ගෙදර යැවෙහු
0 නුබ ගෙරද යැවෙයි,0 නුබ ගෙදර යැවෙයි
0 නුබ ගෙදර යැවතෙි,0 නුබ ගෙදර යැවෙති
0 නබු ගෙදර යැවවෙයි,0 නුබ ගෙදර යැවවෙයි
0 ුබ ගෙදර යැවවෙති,0 නුබ ගෙදර යැවවෙති
0 නුබ ගෙදර යවැවේ,0 නුබ ගෙදර යැවවේ
0 නබුලා ගෙදර යති,0 නුබලා ගෙදර යති
0 නුබලා ගදෙර යත්වා,0 නුබලා ගෙදර යත්වා
0 නුබලා ගෙදර යවනා,0 නුබලා ගෙදර යනවා
1 නුබා ගෙදර යනවාලා,1 නුබලා ගෙදර යනවාලා
0 නුබලා ගෙදර යනු,0 නුබලා ගෙදර යනු
0 නුබලා ගෙදර යන්න,0 නුබලා ගෙදර යන්න
0 නබලා ගෙදර යන්නීය,0 නුබලා ගෙදර යන්නීය
0 නුබාල ගෙදර යන්නෙමි,0 නුබලා ගෙදර යන්නෙමි
0 නුබලා ගෙදර යන්නෙමිවා,0 නුබලා ගෙදර යන්නෙමිවා
0 නුබලා ගෙදර යන්නමෙු,0 නුබලා ගෙදර යන්නෙමු
0 නුබලා ගෙදර යන්නෙමුවා,0 නුබලා ගෙදර යන්නෙමුවා
0 නුබලා ගෙරද යන්නෙහි,0 නුබලා ගෙදර යන්නෙහි
0 ුනබලා ගෙදර යන්නෙහිවා,0 නුබලා ගෙදර යන්නෙහිවා
0 නුලබා ගෙදර යන්නේය,0 නුබලා ගෙදර යන්නේය
0 නුබලා ෙදර යන්නෝය,0 නුබලා ගෙදර යන්නෝය
0 නුබලා ගෙදර මයි,0 නුබලා ගෙදර යමි
0 නුබලා ෙදර යමිවා,0 නුබලා ගෙදර යමිවා
0 නුබලා ගෙදර යමු,0 නුබලා ගෙදර යමු
0 නුබලා ගෙදර මයුවා,0 නුබලා ගෙදර යමුවා
0 නුබලා ගෙදර යයි,0 නුබලා ගෙදර යයි
0 නුබලා ෙදර යව,0 නුබලා ගෙදර යව
0 නුබාල ගෙදර යවති,0 නුබලා ගෙදර යවති
0 නුබලා ගෙදර යවන්නීය,0 නුබලා ගෙදර යවන්නීය
0 නුබලා ගෙදර යවන්නෙමි,0 නුබලා ගෙදර යවන්නෙමි
0 නුබලා ගෙදර යවන්නෙමු,0 නුබලා ගෙදර යවන්නෙමු
0 නුබලා ගෙදර යවන්ෙහි,0 නුබලා ගෙදර යවන්නෙහි
1 නුබා ගෙදර යවන්නෙහු,1 නුබලා ගෙදර යවන්නෙහු
0 නුබලා ගෙදර යන්නේය,0 නුබලා ගෙදර යවන්නේය
